L	L_Alt	L_Operon	L_Alt_Operon	SD	UTR	SD_Operon	UTR_Operon	Not assigned
								Rv2320c
								Rv2321c
								Rv2322c
								Rv2323c
								Rv2325c
								Rv2326c
								Rv2331
								Rv2332
								Rv2333c
								Rv2341
								Rv2344c
								Rv2349c
								Rv2351c
								Rv2353c
								Rv2354
								Rv2355
								Rv2358
								Rv2359
								Rv2364c
								Rv2365c
								Rv2369c
								Rv2370c
								Rv2371
								Rv2372c
								Rv2377c
								Rv2378c
								Rv2379c
								Rv2380c
								Rv2381c
								Rv2382c
								Rv2383c
								Rv2384
								Rv2385
								Rv2395A
								Rv2395B
								Rv2401
								Rv2403c
								Rv2404c
								Rv2407
								Rv2408
								Rv2413c
								Rv2415c
								Rv2417c
								Rv2422
								Rv2423
								Rv2424c
								Rv2425c
								Rv2426c
								Rv2427A
								Rv2427c
								Rv2432c
								Rv2433c
								Rv2434c
								Rv2435c
								Rv2436
								Rv2437
								Rv2438A
								Rv2439c
								Rv2440c
								Rv2446c
								Rv2447c
								Rv2450c
								Rv2451
								Rv2452c
								Rv2453c
								Rv2458
								Rv2465c
								Rv2466c
								Rv2471
								Rv2474c
								Rv2479c
								Rv2480c
								Rv2481c
								Rv2487c
								Rv2488c
								Rv2490c
								Rv2491
								Rv2508c
								Rv2510c
								Rv2512c
								Rv2514c
								Rv2515c
								Rv2520c
								Rv2522c
								Rv2526
								Rv2527
								Rv2528c
								Rv2529
								Rv2530c
								Rv2541
								Rv2542
								Rv2543
								Rv2544
								Rv2545
								Rv2546
								Rv2548
								Rv2550c
								Rv2551c
								Rv2558
								Rv2566
								Rv2568c
								Rv2570
								Rv2571c
								Rv2573
								Rv2576c
								Rv2577
								Rv2578c
								Rv2579
								Rv2582
								Rv2592c
								Rv2598
								Rv2599
								Rv2600
								Rv2601
								Rv2604c
								Rv2608
								Rv2609c
								Rv2610c
								Rv2611c
								Rv2613c
								Rv2614A
								Rv2614c
								Rv2615c
								Rv2616
								Rv2617c
								Rv2618
								Rv2622
								Rv2628
								Rv2635
								Rv2636
								Rv2641
								Rv2644c
								Rv2646
								Rv2647
								Rv2648
								Rv2649
								Rv2652c
								Rv2653c
								Rv2654c
								Rv2655c
								Rv2656c
								Rv2658c
								Rv2660c
								Rv2662
								Rv2663
								Rv2664
								Rv2666
								Rv2667
								Rv2669
								Rv2670c
								Rv2671
								Rv2672
								Rv2677c
								Rv2681
								Rv2685
								Rv2689c
								Rv2690c
								Rv2695
								Rv2698
								Rv2699c
								Rv2701c
								Rv2706c
								Rv2708c
								Rv2709
								Rv2712c
								Rv2719c
								Rv2722
								Rv2725c
								Rv2726c
								Rv2727c
								Rv2730
								Rv2731
								Rv2734
								Rv2735c
								Rv2736c
								Rv2737A
								Rv2737c
