NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Gene Group Identifier	Gene Group Method
886187	hns	histone-like protein Hns	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886700	lprG	lipoprotein LprG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887964	sigJ	ECF RNA polymerase sigma factor SigJ	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888373	cyp121	cytochrome P450 Cyp121	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888728	lrpA	transcriptional regulator LrpA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888860	secA1	protein translocase subunit SecA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885038	mprA	two-component response regulator MrpA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885047	mctB	copper transporter MctB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885104	clpC1	ATP-dependent protease ATP-binding subunit ClpC	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886214	espB	ESX-1 secretion-associated protein EspB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886278	Rv3592	heme-degrading monooxygenase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888174	clpP2	ATP-dependent CLP protease proteolytic subunit 2	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885717	ahpC	alkyl hydroperoxide reductase subunit AhpC	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886755	zmp1	zinc metalloprotease	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887482	ppk1	polyphosphate kinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888253	sirR	transcriptional repressor SirR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885176	Rv3671c	serine protease	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887728	thyA	thymidylate synthase ThyA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888005	nat	arylamine N-acetyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888073	Rv3377c	type B diterpene cyclase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885157	cmk	cytidylate kinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887637	Rv0560c	benzoquinone methyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888423	kdtB	phosphopantetheine adenylyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888598	Rv2050	RNA polymerase-binding protein RbpA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886170	pheA	prephenate dehydratase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886802	Rv1364c	sigma factor regulatory protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
